SeriesNumber,DumpNumber,EventTriggerID
23231217171613,16,25493
23231217171613,16,25575
23231217171613,16,25580
23231217171613,16,26361
23231217171613,16,26556
23231217171613,16,26585
23231217171613,16,26587
23231217171613,16,26659
23231217171613,17,27756
23231217171613,17,27781
23231217171613,17,27833
23231217171613,18,29402
23231217171613,18,30061
23231217171613,18,30067
23231217171613,18,30374
23231217171613,18,30380
23231217171613,19,31010
23231217171613,19,31622
23231217171613,19,31768
23231217171613,20,32780
23231217171613,20,33046
23231217171613,21,34813
23231217171613,21,35318
23231217171613,21,35820
23231217171613,22,37641
23231217171613,22,37706
23231217171613,22,38416
23231217171613,22,38457
23231217171613,23,39000
23231217171613,23,40211
23231217171613,23,40214
23231217171613,24,40398
23231217171613,24,41130
23231217171613,24,41165
23231217171613,25,43380
23231217171613,25,43684
23231217171613,25,43753
23231217171613,26,44163
23231217171613,26,44408
23231217171613,27,45734
23231217171613,27,47302
23231217171613,28,47660
23231217171613,29,49627
23231217171613,29,49659
23231217171613,29,49832
23231217171613,29,51657
23231217171613,30,52898
23231217171613,30,53398
23231217171613,30,53548
23231217171613,30,53744
23231217171613,31,55903
23231217171613,31,55906
23231217171613,32,58598
23231217171613,33,59425
23231217171613,33,60724
23231217171613,33,60848
23231217171613,33,61014
23231217171613,35,64896
23231217171613,35,65709
23231217171613,35,66045
23231217171613,36,68227
23231217171613,36,68231
23231217171613,36,69505
23231217171613,36,69512
23231217171613,37,70382
23231217171613,37,70538
23231217171613,37,70894
23231217171613,37,71017
23231217171613,37,71019
23231217171613,37,71027
23231217171613,38,72094
23231217171613,38,72796
23231217171613,39,74565
23231217171613,39,74906
23231217171613,40,76916
23231217171613,40,77852
23231217171613,40,78251
23231217171613,40,78989
23231217171613,42,82894
23231217171613,42,83349
23231217171613,43,85576
23231217171613,43,85629
23231217171613,44,86688
23231217171613,44,86693
23231217171613,44,86772
23231217171613,44,86789
23231217171613,44,87160
23231217171613,44,87629
23231217171613,44,88852
23231217171613,45,89949
23231217171613,46,92072
23231217171613,46,92076
23231217171613,46,92480
23231217171613,46,93111
23231217171613,47,94189
23231217171613,47,94528
23231217171613,47,94818
23231217171613,47,94836
23231217171613,47,95260
23231217171613,48,96155
23231217171613,48,96335
23231217171613,49,97906
23231217171613,50,99942
23231217212512,6,5294
23231217212512,6,5299
23231217212512,7,6730
23231217212512,7,7101
23231217212512,7,7585
23231217212512,8,9499
23231217212512,8,10052
23231217212512,9,11031
23231217212512,9,11038
23231217212512,9,11351
23231217212512,9,11784
23231217212512,9,12080
23231217212512,10,12635
23231217212512,10,13193
23231217212512,10,13258
23231217212512,10,13716
23231217212512,10,13718
23231217212512,10,14014
23231217212512,11,14590
23231217212512,11,14703
23231217212512,11,14945
23231217212512,11,14948
23231217212512,11,15108
23231217212512,11,15297
23231217212512,11,15340
23231217212512,11,15529
23231217212512,11,15641
23231217212512,11,15896
23231217212512,12,17239
23231217212512,12,17565
23231217212512,13,18510
23231217212512,13,19216
23231217212512,13,19401
23231217212512,13,19434
23231217212512,13,19839
23231217212512,13,19908
23231217212512,14,20830
23231217212512,14,21434
23231217212512,14,21610
23231217212512,14,21994
23231217212512,14,22008
23231217212512,14,22284
23231217212512,14,22291
23231217212512,14,22446
23231217212512,15,22610
23231217212512,15,23669
23231217212512,15,23822
23231217212512,15,24272
23231217212512,15,24278
23231217212512,16,24721
23231217212512,16,25365
23231217212512,16,25601
23231217212512,16,25603
23231217212512,17,27083
23231217212512,17,27230
23231217212512,17,28125
23231217212512,17,28204
23231217212512,18,28431
23231217212512,18,29127
23231217212512,18,29135
23231217212512,18,29331
23231217212512,19,30576
23231217212512,20,33315
23231217212512,20,33332
23231217212512,20,33627
23231217212512,20,33682
23231217212512,20,33781
23231217212512,21,34525
23231217212512,21,34638
23231217212512,21,35803
23231217212512,23,38740
23231217212512,23,38817
23231217212512,23,39009
23231217212512,23,39013
23231217212512,23,42421
23231217212512,23,42626
23231217212512,23,42952
23231217212512,24,44111
23231217212512,24,44368
23231217212512,24,44445
23231217212512,24,44755
23231217212512,24,45136
23231217212512,24,45239
23231217212512,24,46081
23231217212512,25,47456
23231217212512,25,47816
23231217212512,25,49011
23231217212512,25,49109
23231217212512,26,49826
23231217212512,26,50050
23231217212512,26,52227
23231217212512,26,52456
23231217212512,27,53273
23231217212512,27,54613
